Resource,20251027_220208,20251027_220855,20251027_221633,20251027_230521,20251027_231322,20251027_232650,20251028_131918,20251028_144401,20251028_150415,20251028_151421,20251028_161353,20251028_173350,20251028_180044,20251028_184322,20251028_203743
Rune Ra Vi (10 unit),26988.0,26897.0,26989.0,26998.0,27474.0,27473.0,26999.0,26994.0,26993.0,26993.0,26991.0,26987.0,26988.0,26986.0,26985.0
Rune Ra Vi (100 unit),269989.0,269990.0,269990.0,269987.0,269989.0,269989.0,260000.0,250000.0,249996.0,249999.0,249998.0,249995.0,249994.0,249995.0,240000.0
Rune Ré Air (1 unit),1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,3.0
Rune Ré Air (10 unit),113.0,112.0,112.0,112.0,112.0,112.0,109.0,109.0,110.0,110.0,115.0,115.0,115.0,115.0,115.0
Rune Ré Air (100 unit),397.0,390.0,396.0,394.0,394.0,394.0,444.0,441.0,443.0,442.0,443.0,396.0,396.0,394.0,290.0
Rune Ré Eau (1 unit),3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Rune Ré Eau (10 unit),67.0,67.0,67.0,67.0,67.0,67.0,56.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0
Rune Ré Eau (100 unit),326.0,320.0,320.0,315.0,315.0,315.0,639.0,636.0,500.0,499.0,499.0,498.0,500.0,636.0,540.0
Rune Ré Feu (1 unit),9.0,9.0,9.0,10.0,10.0,10.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,49.0,49.0
Rune Ré Feu (10 unit),98.0,100.0,100.0,992.0,992.0,990.0,991.0,989.0,989.0,989.0,993.0,992.0,991.0,991.0,500.0
Rune Ré Feu (100 unit),793.0,780.0,785.0,780.0,780.0,779.0,891.0,700.0,700.0,699.0,699.0,876.0,876.0,874.0,690.0
Rune Ré Neutre (1 unit),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
Rune Ré Neutre (10 unit),38.0,38.0,34.0,34.0,34.0,34.0,120.0,10.0,10.0,10.0,9.0,10.0,10.0,,10.0
Rune Ré Neutre (100 unit),393.0,389.0,388.0,382.0,382.0,382.0,1270.0,1267.0,1267.0,1267.0,1267.0,1189.0,1188.0,,1170.0
Rune Ré Per Air (1 unit),73.0,72.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,72.0,73.0,74.0,,74.0,72.0
Rune Ré Per Air (10 unit),709.0,706.0,705.0,705.0,705.0,700.0,666.0,550.0,705.0,705.0,701.0,719.0,,717.0,700.0
Rune Ré Per Air (100 unit),4849.0,4842.0,4841.0,4834.0,4836.0,4834.0,7498.0,7491.0,7441.0,7441.0,8333.0,8181.0,,6998.0,4989.0
Rune Ré Per Eau (1 unit),95.0,95.0,95.0,93.0,93.0,93.0,85.0,79.0,78.0,78.0,77.0,75.0,74.0,76.0,91.0
Rune Ré Per Eau (10 unit),973.0,976.0,976.0,968.0,959.0,959.0,930.0,935.0,937.0,937.0,929.0,925.0,718.0,923.0,925.0
Rune Ré Per Eau (100 unit),10489.0,10485.0,10485.0,9994.0,9996.0,9997.0,10899.0,10896.0,10888.0,10888.0,10879.0,10868.0,6999.0,8494.0,10875.0
Rune Ré Per Feu (1 unit),537.0,536.0,536.0,536.0,536.0,534.0,424.0,400.0,300.0,300.0,299.0,300.0,,295.0,395.0
Rune Ré Per Feu (10 unit),4989.0,4899.0,4895.0,4885.0,4887.0,4884.0,4854.0,4199.0,2999.0,4199.0,3499.0,4194.0,,4192.0,4187.0
Rune Ré Per Feu (100 unit),48894.0,48883.0,48890.0,48882.0,48882.0,48880.0,48859.0,40997.0,40996.0,40996.0,40997.0,40984.0,,40986.0,40000.0
Rune Ré Per Neutre (1 unit),581.0,579.0,579.0,578.0,578.0,578.0,530.0,499.0,500.0,500.0,500.0,532.0,,530.0,586.0
Rune Ré Per Neutre (10 unit),5898.0,5797.0,5797.0,5795.0,5796.0,5798.0,5850.0,5800.0,5799.0,5799.0,5795.0,5790.0,,5791.0,5800.0
Rune Ré Per Neutre (100 unit),58292.0,58291.0,58292.0,58292.0,58250.0,58199.0,59995.0,59992.0,59993.0,59993.0,59997.0,59989.0,,59986.0,59939.0
Rune Ré Per Terre (1 unit),217.0,215.0,214.0,200.0,200.0,200.0,263.0,210.0,210.0,210.0,209.0,207.0,,188.0,187.0
Rune Ré Per Terre (10 unit),2780.0,2700.0,2700.0,2782.0,2782.0,2781.0,2689.0,2195.0,1999.0,1998.0,1995.0,2193.0,,2188.0,2183.0
Rune Ré Per Terre (100 unit),21980.0,27438.0,27451.0,27447.0,27446.0,27450.0,24395.0,22991.0,22978.0,22977.0,22970.0,21994.0,,19495.0,21596.0
Rune Ré Terre (1 unit),11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Rune Ré Terre (10 unit),119.0,119.0,119.0,119.0,119.0,119.0,114.0,114.0,114.0,114.0,113.0,113.0,109.0,109.0,108.0
Rune Ré Terre (100 unit),1242.0,1241.0,1241.0,1235.0,1235.0,1235.0,1198.0,1190.0,1000.0,1195.0,1195.0,1097.0,999.0,997.0,980.0
Rune Sa (1 unit),3.0,3.0,3.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
Rune Sa (10 unit),7.0,9.0,9.0,9.0,9.0,9.0,33.0,32.0,32.0,32.0,22.0,22.0,22.0,22.0,20.0
Rune Sa (100 unit),93.0,91.0,91.0,91.0,90.0,89.0,364.0,343.0,298.0,297.0,248.0,228.0,230.0,200.0,189.0
Rune So (1 unit),38.0,37.0,37.0,36.0,36.0,36.0,331.0,300.0,300.0,300.0,300.0,245.0,245.0,,230.0
Rune So (10 unit),397.0,394.0,394.0,399.0,399.0,399.0,3931.0,3928.0,3927.0,3926.0,3924.0,3499.0,3498.0,,3485.0
Rune So (100 unit),6083.0,6082.0,6080.0,6081.0,6080.0,6082.0,31999.0,31999.0,31999.0,31999.0,32993.0,29999.0,32992.0,,32979.0
Rune Vi (1 unit),22.0,21.0,21.0,21.0,21.0,99.0,18.0,15.0,16.0,16.0,16.0,16.0,16.0,,21.0
Rune Vi (10 unit),184.0,183.0,182.0,179.0,178.0,9.0,189.0,188.0,185.0,185.0,185.0,184.0,192.0,,242.0
Rune Vi (100 unit),1558.0,1683.0,1680.0,2095.0,1995.0,89.0,1846.0,1844.0,1498.0,1798.0,1946.0,2591.0,2400.0,,2268.0
Rune Vie (1 unit),,,,,,,,,,,,,,,
Rune Vie (10 unit),249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,249000.0,,249000.0
Rune Vie (100 unit),,,,,,,,,,,,,,,
Rune de chasse (1 unit),13.0,13.0,13.0,12.0,12.0,12.0,13.0,18.0,18.0,18.0,18.0,18.0,18.0,8.0,19.0
Rune de chasse (10 unit),330.0,330.0,330.0,330.0,330.0,330.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,79.0,338.0
Rune de chasse (100 unit),1099.0,1098.0,1098.0,1098.0,1098.0,1098.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,413.0,1093.0
Unknown Resource (1 unit),,,373.0,,199.0,,,,,3497.0,,,,,
Unknown Resource (10 unit),,,3999.0,,2222.0,,,,,36984.0,,,,,
Unknown Resource (100 unit),,,37895.0,,23494.0,,572.0,,,360540.0,,,,,
